titles,summary,genre,year
The Skeleton Key,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,"Drama, Horror, Mystery",2005
Nanny McPhee,A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.,"Comedy, Family, Fantasy",2005
The Weather Man,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.","Comedy, Drama",2005
Silent Hill,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",Horror,2006
Curious George,"The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him.","Animation, Adventure, Comedy",2006
A Good Woman,A 1930s American socialite creates a scandal in the expatriate high society of the Amalfi Coast of Italy when she forms a secretive relationship with a wealthy American unbeknownst to his young wife.,"Drama, Comedy, Romance",2004
The Village,A series of events tests the beliefs of a small isolated countryside village.,"Drama, Mystery, Thriller",2004
A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"Action, Crime, Drama",2014
Spartan,The investigation into a kidnapping of the daughter of a high-ranking US government official.,"Action, Crime, Drama",2004
Mr. & Mrs. Smith,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,"Action, Comedy, Crime",2005
Ocean's Twelve,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,"Crime, Thriller",2004
Ladder 49,"A firefighter, injured and trapped in a burning building, has flashbacks of his life as he drifts in and out of consciousness. Meanwhile, fellow firefighters led by the Chief attempt to rescue him.","Action, Drama, Thriller",2004
The Missing,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.","Adventure, Thriller, Western",2003
Cellular,A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped; and the kidnappers have targeted her husband and child next.,"Action, Crime, Thriller",2004
Out of Time,A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.,"Crime, Drama, Mystery",2003
Luther,"During the early sixteenth century, idealistic German monk Martin Luther, disgusted by the materialism in the Catholic Church, begins the dialogue that will lead to the Protestant Reformation.","Biography, Drama, History",2003
Mona Lisa Smile,A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.,Drama,2003
Beyond Borders,The world's cruelty is confronted with the love of two different people who tries to save mankind from poverty and war.,"Adventure, Drama, Romance",2003
Mean Machine,A football star jailed for assault leads a group of inmates in a match against prison guards.,"Comedy, Crime, Drama",2001
Ned Kelly,An innocent man becomes one of the most wanted criminals the world has ever known.,"Action, Adventure, Biography",2003
Basic,A D.E.A. Agent investigates the disappearance of a legendary Army Ranger Drill Sergeant and several of his cadets during a training exercise gone severely awry.,"Action, Crime, Drama",2003
My Big Fat Greek Wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,"Comedy, Drama, Romance",2002
Heist,"A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.","Action, Crime, Drama",2001
The Deep End,A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.,"Crime, Drama, Mystery",2001
Crazy/Beautiful,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from an affluent neighborhood.","Drama, Romance",2001
Big Trouble,"The lives of several Miami denizens, from ad agents to gunrunners to street thugs to law enforcement to school-children, intersect with humorous and dangerous results.","Comedy, Crime, Thriller",2002
Swordfish,"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.","Action, Crime, Thriller",2001
The Four Feathers,A British officer resigns his post just before battle and subsequently receives four white feathers from his friends and fiancee as symbols of what they believe to be his cowardice.,"Action, Adventure, Drama",2002
Bandits,Two bank robbers fall in love with the girl they've kidnapped.,"Comedy, Crime, Drama",2001
Awake,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,"Crime, Drama, Mystery",2007
Riding in Cars with Boys,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.","Biography, Comedy, Drama",2001
Zoolander,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",Comedy,2001
Gone in 60 Seconds,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,"Action, Crime, Thriller",2000
The Blair Witch Project,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.","Horror, Mystery",1999
Under Suspicion,"A wealthy attorney in San Juan comes to the police station for ""10 min."" of follow up questions to finding a 12-year old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him.","Crime, Drama, Thriller",2000
Flawless,"An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons, with the drag queen next door.","Comedy, Crime, Drama",1999
Double Jeopardy,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.","Crime, Drama, Mystery",1999
Varsity Blues,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,"Comedy, Drama, Romance",1999
8MM,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.","Mystery, Thriller",1999
The Faculty,Students suspect that their teachers are aliens after bizarre occurrences.,"Horror, Sci-Fi",1998
BASEketball,"Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.","Comedy, Sport",1998
Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,"Animation, Adventure, Family",2000
Can't Hardly Wait,Multicharacter teenage comedy about high school graduates with different agenda of life on graduation night.,"Comedy, Romance",1998
Paulie,"Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey.","Adventure, Comedy, Drama",1998
The Other Sister,A mentally challenged young woman seeks independence by obtaining her own apartment and attending college while her family plans her sister's wedding.,"Comedy, Drama, Romance",1999
Star Wars: Episode II - Attack of the Clones,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","Action, Adventure, Fantasy",2002
Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory.","Action, Adventure, Fantasy",1999
Wild Things,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,"Crime, Drama, Mystery",1998
A Perfect Murder,"A wealthy Wall Street speculator discovers that his wife has a lover. He investigates him and uses the carrot and stick to make him murder his wife. Planned to detail, it seems like a perfect murder.","Crime, Drama, Thriller",1998
The Parent Trap,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","Adventure, Comedy, Drama",1998
The Man in the Iron Mask,The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?,"Action, Adventure, Drama",1998
Dirty Work,A loser finds success in the revenge-for-hire business.,Comedy,1998
Brokedown Palace,Two women are arrested for smuggling while vacationing in Thailand.,"Drama, Mystery, Thriller",1999
Antz,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,"Animation, Adventure, Comedy",1998
Tomorrow Never Dies,James Bond sets out to stop a media mogul's plan to induce war between China and the U.K in order to obtain exclusive global media coverage.,"Action, Adventure, Thriller",1997
Bean,The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,"Adventure, Comedy, Family",1997
Air Force One,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.","Action, Drama, Thriller",1997
One Fine Day,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","Comedy, Drama, Romance",1996
My Fellow Americans,"Two former U. S. Presidents, hated rivals, join forces to expose the current, corrupt President at the risk of their lives.","Adventure, Comedy",1996
DragonHeart,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.","Action, Adventure, Fantasy",1996
2 Days in the Valley,48 hours of intersecting lives and crimes in Los Angeles.,"Comedy, Crime, Thriller",1996
The Prophecy,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest turned in cop, a teacher and a little girl can stop him.","Action, Crime, Drama",1995
Higher Learning,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.","Crime, Drama, Thriller",1995
Forget Paris,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.","Comedy, Romance",1995
Dangerous Minds,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,"Biography, Drama",1995
Crying Freeman,A woman sees an assassin outside San Francisco killing yakuza men and later in Vancouver. She's been told that he leaves no witness. Will she be his next victim or...?,"Action, Crime, Thriller",1995
Boys on the Side,"Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close friends.","Comedy, Drama",1995
The Santa Clause,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.","Comedy, Drama, Family",1994
Only You,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy.","Comedy, Romance",1994
Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",Drama,1994
Naked Gun 33 1/3: The Final Insult,Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,"Comedy, Crime",1994
Miracle on 34th Street,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,"Family, Fantasy",1994
Killing Zoe,"The cab driver sets American Zed up with Zoe in his Paris hotel. Despite FFR1000 charged, she's an art student with day jobs e.g. bank. Safecracker Zed meets his junkie friend after 11 years to rob a bank.","Crime, Thriller",1993
Under Siege,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,"Action, Thriller",1992
The Mighty Ducks,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,"Comedy, Drama, Family",1992
Hero,"A not-so-nice man rescues passengers from a crashed airliner, only to see someone else take credit.","Comedy, Drama, Romance",1992
FernGully: The Last Rainforest,"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus.","Animation, Adventure, Family",1992
Alien³,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.","Action, Horror, Sci-Fi",1992
The Rocketeer,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,"Action, Adventure, Family",1991
Oscar,"A gangster attempts to keep the promise he made to his dying father: that he would give up his life of crime and ""go straight"".","Comedy, Crime",1991
Jungle Fever,Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,"Drama, Romance",1991
Father of the Bride,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.","Comedy, Family, Romance",1991
Dutch,"To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from a prep school, only to learn that her son isn't the nicest kid.","Comedy, Drama",1991
An American Tail: Fievel Goes West,"A family of Emigre mice decide to move out to the west, unaware that they are falling into a trap perpetrated by a smooth talking cat.","Animation, Adventure, Family",1991
Young Guns II,"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.","Action, Western",1990
Internal Affairs,An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.,"Crime, Drama, Thriller",1990
Cry-Baby,"In 1950s Baltimore, a bad boy with a heart of gold wins the love of a good girl, whose boyfriend sets out for revenge.","Comedy, Musical",1990
The Adventures of Ford Fairlane,A vulgar private detective is hired to find a missing groupie and is drawn into a mystery involving a series of murders tied to the music industry.,"Action, Adventure, Comedy",1990
Society,An ordinary teenage boy discovers his family is part of a gruesome orgy cult for the social elite.,"Comedy, Horror",1989
Kickboxer,Kurt Sloane must learn the ancient kick boxing art of Muay Thai in order to avenge his brother.,"Action, Sport, Thriller",1989
The Dream Team,"Four mental patients on a field trip in New York City must save their caring chaperon, who ends up being taken to a hospital in a coma after accidentally witnessing a murder, before the killers can find him and finish the job.","Comedy, Crime, Thriller",1989
Chances Are,"A reincarnated man unknowingly falls in love with his own daughter from his previous life. Once he realizes this, he tries to end their relationship before angels erase his memory.","Comedy, Fantasy, Romance",1989
The Serpent and the Rainbow,An anthropologist goes to Haiti after hearing rumors about a drug used by black magic practitioners to turn people into zombies.,"Fantasy, Horror",1988
Phantasm II,"Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work.","Action, Fantasy, Horror",1988
The Blob,"A deadly entity from space crashes near a small town and starts to consume anyone in its path. Panic ensues, as shady government scientists try to contain the horrific creature.","Horror, Sci-Fi, Thriller",1988
The Witches of Eastwick,"Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.","Comedy, Fantasy, Horror",1987
The Secret of My Success,"A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life.","Comedy, Romance",1987
The Big Easy,A corrupt lieutenant in the homicide division is threatened by the righteous DA while trying to solve a string of mysterious murders.,"Comedy, Crime, Drama",1986
Beverly Hills Cop II,"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.","Action, Comedy, Crime",1987
¡Three Amigos!,"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing.","Comedy, Western",1986
One Crazy Summer,An aspiring teenage cartoonist and his friends come to the aid of a singer trying to save her family property from developers.,"Comedy, Romance",1986
Remo Williams: The Adventure Begins,"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the US President.","Action, Adventure, Comedy",1985
Rambo: First Blood Part II,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.,"Action, Adventure, Thriller",1985
Legend,A young man must stop the Lord of Darkness from destroying daylight and marrying the woman he loves.,"Adventure, Fantasy, Romance",1985
Just One of the Guys,"Terry feels discriminated against when the summer jobs at Sun Tribune go to 2 guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him"".","Comedy, Romance",1985
Jagged Edge,San Francisco heiress Page Forrester is brutally murdered in her remote beach house. Her husband Jack is devastated by the crime but soon finds himself accused of her murder. He hires ... See full summary »,"Drama, Mystery, Thriller",1985
Into the Night,"After discovering that his wife is cheating on him, an insomniac aerospace engineer accidentally meets, and tries to help a beautiful model on the run from some extremely dangerous people.","Comedy, Crime, Drama",1985
Brewster's Millions,"A minor league baseball player has to spend thirty million dollars in thirty days, in order to inherit three hundred million dollars. However, he's not allowed to tell anyone about the deal.",Comedy,1985
Moscow on the Hudson,"A Russian saxophonist visiting New York with a circus troupe suddenly decides to defect from the USSR during a shopping trip to a department store, but he finds adjusting to American life more difficult than he imagined.","Comedy, Drama, Romance",1984
Johnny Dangerously,"Set in the 1930s, an honest, goodhearted man is forced to turn to a life of crime to finance his neurotic mother's skyrocketing medical bills.","Comedy, Crime",1984
Falling in Love,"During shopping for Christmas, Frank and Molly run into each other. This fleeting short moment will start to change their lives, when they recognize each other months later in the train ... See full summary »","Drama, Romance",1984
Dune,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.,"Action, Adventure, Sci-Fi",1984
The Cotton Club,"Meet the jazz musicians, dancers, owner and guests (e.g. gangster Dutch Schultz) of The Cotton Club in 1928-30s Harlem.","Crime, Drama, Music",1984
Yentl,A Jewish girl disguises herself as a boy to enter religious training.,"Drama, Musical, Romance",1983
Twilight Zone: The Movie,"Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.","Horror, Sci-Fi",1983
Psycho II,"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him.","Crime, Horror, Mystery",1983
Mr. Mom,"After he's laid off, a husband switches roles with his wife. She returns to the workforce, and he becomes a stay-at-home dad, a job he has no clue how to do.","Comedy, Drama",1983
Brainstorm,"Researchers develop a system where they can jump into people's minds. But when people involved bring their personal problems into the equation, it becomes dangerous - perhaps deadly.","Sci-Fi, Thriller",1983
Halloween II,"While Sheriff Brackett and Dr. Loomis hunt for Michael Myers, a traumatized Laurie is rushed to hospital, and the serial killer is not far behind her.",Horror,1981
Maniac,"A psychotic man, troubled by his childhood abuse, loose in New York City, kills young women and takes their scalps as his trophies. Will he find the perfect woman in a photographer, and end his killing spree?","Drama, Horror, Thriller",1980
Friday the 13th,A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which was the site of a child's drowning and a grisly double murder years before.,"Horror, Mystery, Thriller",1980
Cruising,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,"Crime, Drama, Mystery",1980
Wizards,"On a post-apocalyptic Earth, a wizard and his faire folk comrades fight an evil wizard who's using technology in his bid for conquest.","Animation, Adventure, Fantasy",1977
The Kentucky Fried Movie,"A series of short, highly irreverent, and often tasteless skits.",Comedy,1977
Robin and Marian,"Robin Hood, aging none too gracefully, returns exhausted from the Crusades to woo and win Maid Marian one last time.","Adventure, Drama, Romance",1976
A Boy and His Dog,A young man and his telepathic dog wander a post-apocalyptic wasteland.,"Comedy, Drama, Sci-Fi",1975
Joe Kidd,An ex-bounty hunter reluctantly helps a wealthy landowner and his henchmen track down a Mexican revolutionary leader.,Western,1972
The Omega Man,"Lone survivor, doctor Robert Neville, struggles to create a cure for the plague that wiped out most of the human race while fighting The Family, a savage luddite death cult formed by the zombie-like infected to erase the past.","Action, Drama, Sci-Fi",1971
The Love Bug,A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.,"Comedy, Family, Sport",1968
Coogan's Bluff,Arizona Deputy Sheriff Coogan (Clint Eastwood) is sent to New York City to escort an escaped fugitive back for trial.,"Action, Comedy, Crime",1968
Batman,The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,"Adventure, Comedy, Crime",1966
The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.","Action, Horror, Thriller",2020
Unsane,"A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?","Drama, Horror, Mystery",2018
Every Day,A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,"Drama, Fantasy, Romance",2018
Newness,"In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries.","Drama, Romance",2017
Beach Rats,A Brooklyn teenager spends his days experimenting with drugs and looking online for older men to meet with.,Drama,2017
Angel Has Fallen,Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,"Action, Thriller",2019
The Angry Birds Movie 2,The flightless birds and scheming green pigs take their feud to the next level.,"Animation, Adventure, Comedy",2019
"Roman J. Israel, Esq.","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.","Crime, Drama, Thriller",2017
When We First Met,Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later she's engaged to someone else. Noah uses the photo booth time machine several times to return and fix things. Will it work or...?,"Comedy, Fantasy, Romance",2018
Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"Action, Thriller",2017
ARQ,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Action, Sci-Fi, Thriller",2016
Mark Felt: The Man Who Brought Down the White House,"The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.","Biography, Drama, History",2017
"Everything, Everything",A teenager who's spent her whole life confined to her home falls for the boy next door.,"Drama, Romance",2017
The Devil's Candy,"A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale.","Drama, Horror, Thriller",2015
Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.","Animation, Action, Crime",2016
A Cure for Wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","Drama, Fantasy, Horror",2016
Beirut,"Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.","Action, Drama, Thriller",2018
Harriet,"The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.","Action, Biography, Drama",2019
White Boy Rick,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.","Crime, Drama",2018
Shaft,"JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.","Action, Comedy, Crime",2019
Fractured,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.","Mystery, Thriller",2019
The Birth of a Nation,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.","Biography, Drama, History",2016
The Space Between Us,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.","Drama, Romance, Sci-Fi",2017
Mary Shelley,"Life and facts of Mary Wollstonecraft Godwin, who at 16 met 21 year old poet Percy Shelley, resulting in the writing of Frankenstein.","Biography, Drama, History",2017
Ashby,"High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.","Comedy, Crime, Drama",2015
The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","Adventure, Family, Fantasy",2016
Creep 2,"A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake.","Horror, Thriller",2017
The Night Before,"On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","Comedy, Fantasy",2015
Cake,"The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.",Drama,2014
Hot Summer Nights,"In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends in Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.","Comedy, Crime, Drama",2017
Good Kill,A family man begins to question the ethics of his job as a drone pilot.,"Drama, Thriller, War",2014
The Man with the Iron Heart,"As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution"".","Action, Biography, Thriller",2017
Bad Samaritan,A pair of burglars stumble upon a woman being held captive in a home they intended to rob.,"Crime, Horror, Thriller",2018
Just Before I Go,"On the verge of giving up on life, a guy travels to his hometown to make amends.","Comedy, Drama",2014
The Purge: Anarchy,"Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.","Action, Horror, Sci-Fi",2014
Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","Action, Sci-Fi, Thriller",2014
Pitch Perfect 2,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.","Comedy, Music",2015
Top Five,A comedian tries to make it as a serious actor when his reality television star fiancée talks him into broadcasting their wedding on her television show.,"Comedy, Romance",2014
Project Almanac,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.","Drama, Mystery, Sci-Fi",2015
Ain't Them Bodies Saints,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,"Crime, Drama, Romance",2013
Delivery Man,An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,"Comedy, Drama",2013
Need for Speed,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.","Action, Crime, Thriller",2014
Live by Night,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","Action, Crime, Drama",2016
Mississippi Grind,"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.","Comedy, Drama",2015
The Rover,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.","Action, Crime, Drama",2014
White House Down,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.","Action, Drama, Thriller",2013
Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","Horror, Sci-Fi, Thriller",2017
Minions,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Animation, Adventure, Comedy",2015
Muppets Most Wanted,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.","Adventure, Comedy, Crime",2014
Black Sea,"In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold.","Adventure, Drama, Thriller",2014
White Bird in a Blizzard,"In 1988, a teenage girl's life is thrown into chaos when her mother disappears.","Drama, Mystery, Thriller",2014
The Mountain Between Us,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.","Action, Adventure, Drama",2017
Two Night Stand,A snowstorm forces two people who made an online connection to unwillingly extend their one-night stand as the blizzard goes through the night.,"Comedy, Romance",2014
Hidden,A family takes refuge in a bomb shelter to avoid a dangerous outbreak.,"Horror, Thriller",2015
Hours,A father struggles to keep his infant daughter alive in the wake of Hurricane Katrina.,"Drama, Thriller",2013
Elvis & Nixon,"The untold true story behind the meeting between Elvis Presley, the King of Rock 'n Roll, and President Richard Nixon, resulting in this revealing, yet humorous moment immortalized in the most requested photograph in the National Archives.","Comedy, History",2016
Europa Report,An international crew of astronauts undertakes a privately funded mission to search for life on Jupiter's fourth largest moon.,"Drama, Mystery, Sci-Fi",2013
Laggies,"In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes, then, taking an opportunity to escape for a week, hides out in the home of her new friend, 16-year-old Annika, who lives with her world-weary single dad.","Comedy, Drama, Romance",2014
The Frozen Ground,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"Crime, Drama, Thriller",2013
